season,eliminator,id,inning,batting_team,bowling_team,runs,extras,deliveries,wickets,dots,singles,doubles,threes,fours,sixers,extra_deliveries,bowled,catches,run_outs
2008,N,336013,1,Chennai Super Kings,Kings XI Punjab,166,15,120,4,40,44,10,1,14,7,11,0,4,0
2008,N,336013,2,Kings XI Punjab,Chennai Super Kings,160,3,120,9,46,43,11,1,8,10,2,1,8,0
2008,N,336014,1,Kolkata Knight Riders,Deccan Chargers,199,5,120,4,42,36,10,0,22,9,4,0,3,1
2008,N,336014,2,Deccan Chargers,Kolkata Knight Riders,165,16,120,7,48,36,8,0,15,8,8,1,6,0
2008,N,336015,1,Delhi Capitals,Rajasthan Royals,145,11,120,7,41,42,15,1,10,5,3,2,4,1
2008,N,336015,2,Rajasthan Royals,Delhi Capitals,142,17,114,7,47,34,10,0,12,6,8,3,1,3
2008,N,336016,1,Royal Challengers Bangalore,Kings XI Punjab,128,15,120,8,42,54,5,0,13,2,4,4,1,1
2008,N,336016,2,Kings XI Punjab,Royal Challengers Bangalore,135,9,94,1,32,37,4,0,12,7,3,0,1,0
2008,N,336017,1,Kolkata Knight Riders,Delhi Capitals,122,11,120,6,43,58,3,0,10,3,8,1,4,1
2008,N,336017,2,Delhi Capitals,Kolkata Knight Riders,102,8,107,10,46,44,3,0,13,0,3,3,5,2
2008,N,336018,1,Chennai Super Kings,Mumbai Indians,144,12,120,6,56,32,5,0,21,3,7,1,4,0
2008,N,336018,2,Mumbai Indians,Chennai Super Kings,142,16,83,1,37,15,2,1,12,12,11,1,0,0
2008,N,336019,1,Kings XI Punjab,Rajasthan Royals,216,5,120,3,41,39,4,1,20,14,4,0,2,1
2008,N,336019,2,Rajasthan Royals,Kings XI Punjab,176,4,120,7,43,40,8,0,18,8,1,3,3,0
2008,N,336020,1,Delhi Capitals,Deccan Chargers,186,8,120,4,31,48,12,2,18,6,5,0,2,1
2008,N,336020,2,Deccan Chargers,Delhi Capitals,179,3,120,9,39,50,5,0,15,9,2,2,6,0
2008,N,336021,1,Kolkata Knight Riders,Mumbai Indians,59,8,92,10,59,21,2,0,7,1,6,1,7,1
2008,N,336021,2,Mumbai Indians,Kolkata Knight Riders,58,10,33,2,14,6,1,0,8,2,5,0,2,0
2008,N,336022,1,Delhi Capitals,Kings XI Punjab,108,10,66,4,24,18,6,0,10,6,7,1,3,0
2008,N,336022,2,Kings XI Punjab,Delhi Capitals,90,4,48,3,11,20,3,0,4,8,2,0,3,0
2008,N,336023,1,Rajasthan Royals,Royal Challengers Bangalore,171,26,120,1,34,47,11,0,20,3,7,0,1,0
2008,N,336023,2,Royal Challengers Bangalore,Rajasthan Royals,126,6,120,9,59,40,5,0,10,6,5,1,7,0
2008,N,336024,1,Mumbai Indians,Deccan Chargers,158,20,120,7,43,43,4,0,17,6,8,3,4,0
2008,N,336024,2,Deccan Chargers,Mumbai Indians,145,8,120,7,47,44,6,0,13,6,4,2,4,1
2008,N,336025,1,Kolkata Knight Riders,Chennai Super Kings,136,13,120,5,45,39,9,0,15,3,4,4,1,0
2008,N,336025,2,Chennai Super Kings,Kolkata Knight Riders,51,4,48,0,21,17,1,0,8,0,3,0,0,0
2008,N,336026,1,Royal Challengers Bangalore,Delhi Capitals,145,9,120,7,53,41,6,0,14,6,5,2,3,2
2008,N,336026,2,Delhi Capitals,Royal Challengers Bangalore,146,12,110,5,37,42,5,0,19,3,1,0,3,1
2008,N,336027,1,Kolkata Knight Riders,Rajasthan Royals,142,5,120,8,51,42,6,0,13,6,2,3,4,1
2008,N,336027,2,Rajasthan Royals,Kolkata Knight Riders,143,7,99,4,38,27,9,0,17,5,3,1,3,0
2008,N,336028,1,Kings XI Punjab,Mumbai Indians,177,12,120,4,42,41,8,0,18,8,4,0,3,0
2008,N,336028,2,Mumbai Indians,Kings XI Punjab,165,23,120,10,41,33,14,0,17,5,5,1,4,5
2008,N,336029,1,Royal Challengers Bangalore,Chennai Super Kings,122,4,120,8,51,42,9,0,14,1,1,3,5,0
2008,N,336029,2,Chennai Super Kings,Royal Challengers Bangalore,100,12,120,8,67,33,6,1,9,2,6,1,5,1
2008,N,336031,1,Deccan Chargers,Kings XI Punjab,170,5,120,4,44,38,11,0,14,9,1,3,1,0
2008,N,336031,2,Kings XI Punjab,Deccan Chargers,170,8,117,4,32,53,7,1,13,8,5,0,4,0
2008,N,336032,1,Mumbai Indians,Delhi Capitals,167,9,120,8,45,46,3,0,18,7,7,2,5,1
2008,N,336032,2,Delhi Capitals,Mumbai Indians,176,3,119,5,39,46,7,0,20,6,1,2,2,1
2008,N,336033,1,Rajasthan Royals,Chennai Super Kings,204,7,120,5,30,48,11,0,20,9,2,0,3,2
2008,N,336033,2,Chennai Super Kings,Rajasthan Royals,192,9,120,7,35,49,6,0,19,8,6,1,4,1
2008,N,336034,1,Royal Challengers Bangalore,Deccan Chargers,151,5,120,8,34,61,3,0,15,4,2,4,3,1
2008,N,336034,2,Deccan Chargers,Royal Challengers Bangalore,147,6,120,6,40,55,1,0,15,5,2,2,4,0
2008,N,336035,1,Kings XI Punjab,Kolkata Knight Riders,163,11,120,6,42,47,6,2,17,5,6,4,1,1
2008,N,336035,2,Kolkata Knight Riders,Kings XI Punjab,166,9,118,7,50,36,4,0,17,9,4,3,4,0
2008,N,336036,1,Mumbai Indians,Rajasthan Royals,132,13,120,7,46,40,13,1,14,1,7,2,3,0
2008,N,336036,2,Rajasthan Royals,Mumbai Indians,130,16,120,5,42,51,8,2,11,2,6,0,3,2
2008,N,336037,1,Deccan Chargers,Chennai Super Kings,131,16,120,8,43,49,6,0,13,3,6,2,5,1
2008,N,336037,2,Chennai Super Kings,Deccan Chargers,137,11,116,3,46,42,5,1,16,3,8,0,3,0
2008,N,336038,1,Rajasthan Royals,Delhi Capitals,188,4,120,9,46,36,8,0,19,10,3,1,5,1
2008,N,336038,2,Delhi Capitals,Rajasthan Royals,80,7,97,10,49,34,2,0,9,1,3,1,8,1
2008,N,336039,1,Kings XI Punjab,Chennai Super Kings,108,4,120,8,62,35,7,1,11,2,2,2,5,1
2008,N,336039,2,Chennai Super Kings,Kings XI Punjab,112,4,89,1,37,34,1,0,13,4,4,0,1,0
2008,N,336040,1,Chennai Super Kings,Rajasthan Royals,156,7,120,5,37,50,14,0,9,7,4,0,5,0
2008,N,336040,2,Rajasthan Royals,Chennai Super Kings,150,14,120,7,43,44,11,1,12,5,6,2,3,2
2009,N,392181,1,Mumbai Indians,Chennai Super Kings,162,3,120,7,35,55,5,1,19,3,1,0,5,1
2009,N,392181,2,Chennai Super Kings,Mumbai Indians,137,9,120,7,46,50,4,1,10,6,3,1,5,0
2009,N,392182,1,Royal Challengers Bangalore,Rajasthan Royals,129,4,120,8,55,35,11,0,15,2,2,3,4,0
2009,N,392182,2,Rajasthan Royals,Royal Challengers Bangalore,49,9,91,10,59,23,5,0,1,2,8,1,7,1
2009,N,392183,1,Kings XI Punjab,Delhi Capitals,96,8,72,7,28,22,6,0,5,7,4,1,4,2
2009,N,392183,2,Delhi Capitals,Kings XI Punjab,53,5,29,0,9,7,2,0,6,3,3,0,0,0
2009,N,392184,1,Kolkata Knight Riders,Deccan Chargers,96,5,118,10,66,33,4,1,7,4,1,2,5,1
2009,N,392184,2,Deccan Chargers,Kolkata Knight Riders,102,2,79,2,36,22,3,2,11,4,1,0,1,1
2009,N,392185,1,Chennai Super Kings,Royal Challengers Bangalore,166,13,120,5,34,57,5,1,15,6,4,2,2,1
2009,N,392185,2,Royal Challengers Bangalore,Chennai Super Kings,82,5,92,10,48,27,5,1,9,1,4,3,4,1
2009,N,392186,1,Kings XI Punjab,Kolkata Knight Riders,146,12,120,6,46,46,8,0,15,4,7,0,5,1
2009,N,392186,2,Kolkata Knight Riders,Kings XI Punjab,75,4,56,1,26,16,4,1,3,6,4,0,1,0
2009,N,392188,1,Deccan Chargers,Royal Challengers Bangalore,175,9,120,6,39,44,10,1,9,12,1,1,4,1
2009,N,392188,2,Royal Challengers Bangalore,Deccan Chargers,153,7,120,8,48,39,11,0,17,4,6,1,5,1
2009,N,392189,1,Delhi Capitals,Chennai Super Kings,188,1,120,5,35,47,13,1,16,8,1,0,5,0
2009,N,392189,2,Chennai Super Kings,Delhi Capitals,165,15,120,9,31,55,12,0,14,5,5,0,6,3
2009,Y,392190,1,Rajasthan Royals,Kolkata Knight Riders,140,10,120,6,45,47,8,1,11,5,6,1,5,0
2009,Y,392190,2,Kolkata Knight Riders,Rajasthan Royals,132,18,120,8,51,42,7,0,10,5,10,0,7,1
2009,N,392191,1,Royal Challengers Bangalore,Kings XI Punjab,160,8,120,9,46,37,13,1,16,5,3,3,6,0
2009,N,392191,2,Kings XI Punjab,Royal Challengers Bangalore,160,13,114,3,23,62,8,0,10,7,5,0,2,1
2009,N,392192,1,Deccan Chargers,Mumbai Indians,154,14,120,9,39,48,8,0,12,7,5,4,4,1
2009,N,392192,2,Mumbai Indians,Deccan Chargers,143,13,120,7,42,50,5,0,10,7,7,2,5,0
2009,N,392194,1,Royal Challengers Bangalore,Delhi Capitals,138,11,120,7,45,48,11,0,8,5,6,3,3,1
2009,N,392194,2,Delhi Capitals,Royal Challengers Bangalore,146,4,116,4,35,52,15,0,10,4,4,1,3,0
2009,N,392195,1,Kings XI Punjab,Rajasthan Royals,126,13,120,6,50,43,7,1,12,3,8,1,3,2
2009,N,392195,2,Rajasthan Royals,Kings XI Punjab,102,10,120,7,52,49,7,1,9,0,5,2,5,0
2009,N,392196,1,Chennai Super Kings,Deccan Chargers,158,7,120,6,45,49,4,0,16,6,7,0,4,0
2009,N,392196,2,Deccan Chargers,Chennai Super Kings,159,10,117,4,37,51,7,0,13,7,4,1,3,0
2009,N,392197,1,Mumbai Indians,Kolkata Knight Riders,178,9,120,6,42,41,12,3,11,10,4,1,4,1
2009,N,392197,2,Kolkata Knight Riders,Mumbai Indians,91,4,92,9,40,37,5,0,8,2,3,3,6,0
2009,N,392198,1,Delhi Capitals,Rajasthan Royals,138,5,120,7,44,48,8,0,14,3,2,3,3,0
2009,N,392198,2,Rajasthan Royals,Delhi Capitals,138,9,112,5,47,38,7,0,11,7,6,1,2,1
2009,N,392199,1,Kolkata Knight Riders,Royal Challengers Bangalore,130,9,120,6,43,52,9,0,12,2,3,2,4,0
2009,N,392199,2,Royal Challengers Bangalore,Kolkata Knight Riders,134,9,119,5,43,51,7,1,12,3,6,0,5,0
2009,N,392200,1,Kings XI Punjab,Mumbai Indians,102,17,120,8,42,64,5,0,4,2,6,2,4,1
2009,N,392200,2,Mumbai Indians,Kings XI Punjab,105,11,120,7,54,42,13,1,7,1,8,2,5,0
2009,N,392201,1,Deccan Chargers,Delhi Capitals,137,11,120,9,45,42,11,1,13,3,3,2,5,2
2009,N,392201,2,Delhi Capitals,Deccan Chargers,138,12,112,4,45,36,9,0,14,4,8,2,2,0
2009,N,392202,1,Chennai Super Kings,Rajasthan Royals,159,5,120,5,45,43,8,1,15,6,3,1,3,0
2009,N,392202,2,Rajasthan Royals,Chennai Super Kings,118,8,117,9,47,48,7,0,11,2,3,1,7,0
2009,N,392203,1,Mumbai Indians,Kolkata Knight Riders,135,13,120,6,42,52,7,0,8,6,6,1,5,0
2009,N,392203,2,Kolkata Knight Riders,Mumbai Indians,131,8,120,6,43,53,10,0,10,3,7,3,2,1
2009,N,392204,1,Royal Challengers Bangalore,Kings XI Punjab,139,6,120,9,52,40,7,1,13,5,4,3,6,0
2009,N,392204,2,Kings XI Punjab,Royal Challengers Bangalore,124,13,120,7,56,35,9,1,11,4,3,2,4,1
2009,N,392205,1,Deccan Chargers,Rajasthan Royals,134,7,120,5,51,41,8,1,11,5,4,1,4,0
2009,N,392205,2,Rajasthan Royals,Deccan Chargers,135,7,118,7,49,42,6,1,12,5,4,1,5,1
2009,N,392206,1,Chennai Super Kings,Delhi Capitals,154,9,120,10,44,46,9,0,15,5,5,1,7,1
2009,N,392206,2,Delhi Capitals,Chennai Super Kings,142,3,120,8,52,38,8,1,15,4,1,4,3,0
2009,N,392207,1,Kolkata Knight Riders,Kings XI Punjab,146,7,120,3,46,41,10,1,16,3,3,0,3,0
2009,N,392207,2,Kings XI Punjab,Kolkata Knight Riders,144,10,120,4,41,52,8,0,13,4,6,0,4,0
2009,N,392208,1,Mumbai Indians,Royal Challengers Bangalore,143,6,120,4,47,41,12,2,13,3,2,0,4,0
2009,N,392208,2,Royal Challengers Bangalore,Mumbai Indians,142,8,109,1,43,33,13,1,14,4,7,0,1,0
2009,N,392209,1,Chennai Super Kings,Deccan Chargers,168,10,120,3,35,54,8,0,14,7,4,0,3,0
2009,N,392209,2,Deccan Chargers,Chennai Super Kings,93,7,88,10,43,25,4,0,6,6,3,4,6,0
2009,N,392210,1,Rajasthan Royals,Kings XI Punjab,207,4,120,4,40,40,8,0,24,8,4,0,4,0
2009,N,392210,2,Kings XI Punjab,Rajasthan Royals,114,19,120,8,59,36,5,0,11,4,8,2,5,0
2009,N,392211,1,Kolkata Knight Riders,Delhi Capitals,150,4,120,3,44,49,9,1,13,4,4,1,2,0
2009,N,392211,2,Delhi Capitals,Kolkata Knight Riders,149,8,114,1,41,38,14,1,17,2,2,0,1,0
2009,N,392212,1,Deccan Chargers,Mumbai Indians,136,9,120,6,44,47,9,1,8,6,4,2,3,1
2009,N,392212,2,Mumbai Indians,Deccan Chargers,123,3,120,8,51,46,6,1,11,3,1,3,4,0
2009,N,392213,1,Royal Challengers Bangalore,Rajasthan Royals,100,5,120,10,59,47,5,0,6,3,5,4,5,1
2009,N,392213,2,Rajasthan Royals,Royal Challengers Bangalore,104,3,90,3,41,28,6,2,10,3,3,1,1,1
2009,N,392214,1,Chennai Super Kings,Kings XI Punjab,179,6,108,3,37,33,8,0,19,9,1,0,3,0
2009,N,392214,2,Kings XI Punjab,Chennai Super Kings,168,6,108,3,26,46,13,0,12,8,3,1,2,0
2009,N,392215,1,Mumbai Indians,Delhi Capitals,103,13,120,10,56,46,5,0,7,3,10,2,5,3
2009,N,392215,2,Delhi Capitals,Mumbai Indians,112,6,113,3,48,49,2,1,11,2,4,0,2,0
2009,N,392216,1,Deccan Chargers,Kings XI Punjab,161,7,120,5,47,37,16,0,9,9,5,0,4,1
2009,N,392216,2,Kings XI Punjab,Deccan Chargers,160,9,119,7,31,58,10,0,10,7,3,1,4,2
2009,N,392217,1,Rajasthan Royals,Chennai Super Kings,133,7,120,7,49,42,8,0,11,5,2,2,2,1
2009,N,392217,2,Chennai Super Kings,Rajasthan Royals,131,10,110,3,50,30,9,1,14,4,6,1,1,0
2009,N,392218,1,Mumbai Indians,Royal Challengers Bangalore,150,7,120,2,40,49,16,0,10,4,7,1,1,0
2009,N,392218,2,Royal Challengers Bangalore,Mumbai Indians,127,14,120,7,46,45,14,0,9,3,8,1,3,1
2009,N,392219,1,Kolkata Knight Riders,Delhi Capitals,115,8,120,8,57,42,8,1,6,5,6,1,6,0
2009,N,392219,2,Delhi Capitals,Kolkata Knight Riders,112,13,103,3,40,38,8,0,13,1,5,0,3,0
2009,N,392220,1,Deccan Chargers,Rajasthan Royals,164,2,120,7,36,51,15,1,8,8,1,2,4,0
2009,N,392220,2,Rajasthan Royals,Deccan Chargers,109,4,117,10,51,46,7,1,10,1,3,4,2,3
2009,N,392221,1,Kolkata Knight Riders,Royal Challengers Bangalore,164,9,120,4,40,49,7,1,16,5,4,1,3,0
2009,N,392221,2,Royal Challengers Bangalore,Kolkata Knight Riders,167,9,116,4,42,42,9,0,15,6,8,0,3,0
2009,N,392222,1,Kings XI Punjab,Mumbai Indians,101,18,120,9,64,37,3,0,10,3,10,2,4,3
2009,N,392222,2,Mumbai Indians,Kings XI Punjab,116,6,98,2,47,27,7,1,12,4,6,1,1,0
2009,N,392223,1,Delhi Capitals,Deccan Chargers,161,12,120,7,45,45,7,0,16,6,6,0,6,1
2009,N,392223,2,Deccan Chargers,Delhi Capitals,153,8,118,10,44,43,8,0,13,7,5,4,5,1
2009,N,392224,1,Chennai Super Kings,Royal Challengers Bangalore,125,4,118,10,48,45,7,0,12,3,1,0,7,2
2009,N,392224,2,Royal Challengers Bangalore,Chennai Super Kings,124,8,118,8,51,44,6,0,11,4,3,2,5,1
2009,N,392225,1,Rajasthan Royals,Mumbai Indians,138,7,120,7,48,45,4,1,16,3,4,1,5,1
2009,N,392225,2,Mumbai Indians,Rajasthan Royals,125,18,119,10,44,48,12,0,10,2,8,3,3,3
2009,N,392226,1,Delhi Capitals,Kings XI Punjab,106,14,120,9,53,37,18,1,6,1,7,1,7,1
2009,N,392226,2,Kings XI Punjab,Delhi Capitals,114,9,115,4,63,27,7,0,12,4,7,1,3,0
2009,N,392227,1,Mumbai Indians,Chennai Super Kings,142,5,120,5,43,51,9,0,9,6,2,1,2,2
2009,N,392227,2,Chennai Super Kings,Mumbai Indians,125,26,115,3,45,39,11,0,10,4,5,1,1,0
2009,N,392228,1,Kolkata Knight Riders,Deccan Chargers,153,7,120,5,45,41,14,1,10,6,4,0,4,1
2009,N,392228,2,Deccan Chargers,Kolkata Knight Riders,159,7,120,4,43,43,12,0,13,6,4,0,2,2
2009,N,392229,1,Kings XI Punjab,Deccan Chargers,127,7,120,7,48,48,9,1,10,3,6,1,5,1
2009,N,392229,2,Deccan Chargers,Kings XI Punjab,128,5,120,8,62,28,14,0,11,4,4,3,1,1
2009,N,392230,1,Delhi Capitals,Rajasthan Royals,145,5,120,3,37,53,15,2,11,1,4,2,0,0
2009,N,392230,2,Rajasthan Royals,Delhi Capitals,123,13,120,9,52,37,9,3,13,1,7,1,6,0
2009,N,392231,1,Chennai Super Kings,Kolkata Knight Riders,168,20,120,3,35,50,9,0,16,6,9,0,1,2
2009,N,392231,2,Kolkata Knight Riders,Chennai Super Kings,184,5,120,3,41,40,14,0,16,8,1,2,0,1
2009,N,392232,1,Delhi Capitals,Royal Challengers Bangalore,131,3,120,7,36,59,14,2,8,1,3,2,5,0
2009,N,392232,2,Royal Challengers Bangalore,Delhi Capitals,132,3,114,3,41,49,10,0,8,5,2,0,2,0
2009,N,392233,1,Rajasthan Royals,Kolkata Knight Riders,96,5,120,9,65,36,7,0,7,3,3,3,3,3
2009,N,392233,2,Kolkata Knight Riders,Rajasthan Royals,97,5,117,6,62,34,6,1,9,2,2,1,3,1
2009,N,392234,1,Chennai Super Kings,Kings XI Punjab,109,7,120,9,53,47,3,0,11,2,2,3,3,2
2009,N,392234,2,Kings XI Punjab,Chennai Super Kings,86,6,120,8,60,42,9,0,5,1,3,3,4,0
2009,N,392235,1,Mumbai Indians,Delhi Capitals,141,24,120,8,45,39,9,0,18,2,11,3,3,1
2009,N,392235,2,Delhi Capitals,Mumbai Indians,157,9,105,6,36,39,7,0,17,6,5,2,4,0
2009,N,392236,1,Royal Challengers Bangalore,Deccan Chargers,168,2,120,4,45,35,18,1,13,7,1,0,3,0
2009,N,392236,2,Deccan Chargers,Royal Challengers Bangalore,145,13,120,6,37,54,9,1,10,5,6,1,4,1
2009,N,392237,1,Delhi Capitals,Deccan Chargers,143,10,120,8,46,45,10,0,13,4,5,2,4,2
2009,N,392237,2,Deccan Chargers,Delhi Capitals,148,6,106,4,41,40,6,0,13,6,6,1,2,0
2009,N,392238,1,Chennai Super Kings,Royal Challengers Bangalore,140,6,120,5,40,53,8,1,11,4,3,1,4,0
2009,N,392238,2,Royal Challengers Bangalore,Chennai Super Kings,144,5,113,4,46,35,10,0,16,3,2,3,1,0
2009,N,392239,1,Deccan Chargers,Royal Challengers Bangalore,135,8,120,6,47,41,17,0,9,4,6,3,3,0
2009,N,392239,2,Royal Challengers Bangalore,Deccan Chargers,127,10,120,9,53,37,7,2,10,5,1,2,5,0
2010,N,419106,1,Kolkata Knight Riders,Deccan Chargers,146,15,120,4,50,39,7,0,11,8,7,0,4,0
2010,N,419106,2,Deccan Chargers,Kolkata Knight Riders,138,12,120,7,45,46,12,0,11,4,7,1,4,0
2010,N,419107,1,Mumbai Indians,Rajasthan Royals,196,16,120,7,33,43,11,1,23,6,9,2,3,1
2010,N,419107,2,Rajasthan Royals,Mumbai Indians,203,5,120,7,35,47,9,0,18,11,5,2,1,3
2010,N,419108,1,Kings XI Punjab,Delhi Capitals,129,13,120,9,52,36,10,0,14,2,5,1,5,1
2010,N,419108,2,Delhi Capitals,Kings XI Punjab,139,7,119,5,44,44,11,1,16,1,2,0,4,1
